יוצא מידי
שנה 0.25507
מדות 0.08177
שנים 0.02308
בריתות 0.0164
מידות 0.01633

מות יומת
המכה 0.02505
האיש 0.02192
הנואף 0.01696
בשאר 0.01527
הרוצח 0.01055

שהביא בשם
ספר 0.03642
רבינו 0.02496
הרב 0.02259
הירושלמי 0.01631
תשובת 0.01404

מוכרחים אנו
לומר 0.1812
להודות 0.04281
לפרש 0.01965
להניח 0.01616
לאמר 0.01295

קשה לקבוע
בוודאות 0.04505
בדיוק 0.04101
מסמרות 0.0184
מתי 0.01532
באיזו 0.01398

שכתוב בתורה
תנאו 0.03288
חוץ 0.00577
בדבר 0.0051
אפילו 0.00493
אלא 0.00439

מעט מעט
גם 0.00574
אגרשנו 0.00556
כדי 0.00342
החלו 0.00232
במשך 0.00197

דיון מפורט
בנושא 0.03654
בסוגיה 0.01436
אצל 0.01418
בעניין 0.01413
בשאלה 0.01041

בתוך העיר
העתיקה 0.03564
עצמה 0.01606
בתוך 0.00954
ירושלים 0.0057
הגדולה 0.00499

אלו ניתן
למצוא 0.07352
ללמוד 0.06353
לראות 0.04783
להסיק 0.03655
להבין 0.0325

בעלי ערך
היסטורי 0.03752
כלכלי 0.01376
אמנותי 0.01295
מיוחד 0.01259
קיים 0.01095

האופן שבו
הם 0.02748
אנו 0.01803
אנחנו 0.00677
אני 0.00669
ניתן 0.00607

פחות ממה
שיש 0.08289
שהוא 0.05813
שהיה 0.05345
שהם 0.02969
שהיא 0.02053

הוצאת ספרים
האוניברסיטה 0.11264
ירושלים 0.00986
אריאל 0.00918
עיש 0.00873
קרני 0.00839

מעט מים
חמים 0.01435
מכדך 0.01134
קרים 0.01086
ורחצו 0.00949
לשתות 0.0079

אני רוצה
לומר 0.03782
לדעת 0.02194
לראות 0.02165
להגיד 0.01748
לדבר 0.01598

מלאכי השרת
לפני 0.07157
לומר 0.01953
אומרים 0.01606
ואמרו 0.01343
נזקקין 0.00902

יום אהד
לפני 0.02503
בלבד 0.01165
בשבוע 0.01057
בשנה 0.00991
הגיע 0.00598

בריה דרב
יהושע 0.32441
אידי 0.07307
יוסף 0.06346
יהודה 0.05591
שמואל 0.05433

חייב משום
בונה 0.06638
מכה 0.03949
מפרק 0.02276
קוצר 0.01743
מכבה 0.01708

אומר שאין
כאן 0.02229
ראוי 0.01803
לך 0.01337
צורך 0.01175
צריך 0.01089

היכא דלא
אפשר 0.09409
שייך 0.04483
אמר 0.02232
הוי 0.01937
מצי 0.01868

ניתן להגיע
למסקנה 0.03246
לידי 0.0225
אליה 0.02218
אליו 0.02216
רק 0.01641

באמונה שלימה
שהבורא 0.02157
בביאת 0.01814
שהכל 0.01171
שהוא 0.01088
שיש 0.00799

שאלת היהודים
ומדינת 0.01254
— 0.00785
בארץ 0.00702
ברוסיה 0.00694
בעולם 0.00626

הימים הראשונים
שלאחר 0.00985
הטובים 0.0091
לאחר 0.00879
יפלו 0.00626
למלחמה 0.00508

שהיה קשה
מאוד 0.03263
מאד 0.02266
בעיניהם 0.02196
ביותר 0.01221
לפני 0.01127

ממה שנאמר
באברהם 0.05131
כאן 0.02161
לעיל 0.01174
בתורה 0.01025
למשה 0.00988

מיכה יוסף
ברדיצ 0.21013
בן 0.07745
לבנזון 0.03892
ברדיציבסקי 0.01483
ברדיצבסקי 0.01207

להתפלל תפילת
מנחה 0.1375
שחרית 0.12793
ערבית 0.1263
מוסף 0.03517
שמונה 0.02677

ובכל שעה
ובכל 0.02065
ושעה 0.01842
שהוא 0.00806
שירצה 0.00615
— 0.00393

חס ושלום
אלא 0.00366
לידי 0.00319
לומר 0.00314
יהיה 0.00232
שלא 0.00228

דקות אחדות
לאחר 0.04318
לפני 0.04264
קודם 0.01241
בלבד 0.01231
חזר 0.00877

הכל כדי
למנוע 0.04178
שלא 0.04126
להציל 0.01785
להקל 0.014
לשמור 0.01383

שנת הלימודים
הראשונה 0.0368
החדשה 0.02698
הבאה 0.017
האחרונה 0.00995
תש 0.00881

אלעזר בר
צדוק 0.16854
שמעון 0.09096
רבי 0.05673
אבינא 0.05431
יוסי 0.03166

אלעזר בן
עזריה 0.28348
ערך 0.09327
שמוע 0.05869
אהרן 0.05535
יעקב 0.02069

עוד נראה
להלן 0.02999
לומר 0.02933
לפרש 0.02498
לבאר 0.01085
בהמשך 0.00693

הוציא לאור
ספר 0.03788
בשנת 0.02341
גם 0.01055
ספרו 0.0102
ספרים 0.0091

ניתן להבין
מדוע 0.029
גם 0.02
כיצד 0.01216
טוב 0.00644
רק 0.00598

ניתן להביא
ראיה 0.045
דוגמאות 0.03655
לידי 0.02685
ראיות 0.02011
עוד 0.01647

היהודים היושבים
בארץ 0.09991
בארצות 0.03236
בעיר 0.02265
בקרבם 0.01441
בערי 0.01344

יום הדין
הגדול 0.0698
האחרון 0.01166
הנורא 0.00623
הנדול 0.00515
לפקוד 0.00468

הם מדברים
ואני 0.03916
ביניהם 0.01578
בלשון 0.01416
עברית 0.01404
בשם 0.00899

במהלך שנות
השמונים 0.08063
החמישים 0.07085
התשעים 0.06967
העשרים 0.06894
השלושים 0.06632

ולקראת סוף
המאה 0.17058
השנה 0.04002
התקופה 0.03514
המלחמה 0.03459
שנות 0.03353

בתוך מסגרת
רחבה 0.01051
חברתית 0.00921
כללית 0.00822
המדינה 0.00737
שחורה 0.00639

בדרך התורה
והמצוה 0.06221
והיראה 0.06182
והמצוות 0.03257
והמצות 0.01618
והמסורה 0.01027

לפיכך צריך
האדם 0.06288
לומר 0.02509
לספר 0.02398
לישב 0.01601
להזהר 0.01527

רבינו הקדוש
רבי 0.01262
שהיה 0.00699
שלא 0.00643
מלובלין 0.00514
ע 0.00454

שתי נשים
צעירות 0.01026
יהודיות 0.00932
האחת 0.00922
זקנות 0.00543
זונות 0.00422

יהודי רוסיה
ופולין 0.01982
הלבנה 0.0084
הסובייטית 0.00768
ורומניה 0.00616
הצארית 0.00611

מביא בשם
ספר 0.03584
רבינו 0.01846
אביו 0.01723
הרב 0.01605
רבי 0.01305

יכול להמשיך
לחיות 0.01767
עוד 0.01564
כך 0.01214
בדרכו 0.01007
בתפקידו 0.00897

יכולים להגיע
לידי 0.0444
אליו 0.0324
אליה 0.02377
אליהם 0.0163
רק 0.0126

לקונגרס הציוני
הראשון 0.07867
הי 0.035
הכ 0.02532
השני 0.01223
השביעי 0.01075

אנחנו חייבים
להודות 0.06959
לעשות 0.02743
לדעת 0.0147
לשמור 0.01274
לקבל 0.00851

עוד נשוב
לדבר 0.09615
להלן 0.05521
לדון 0.05047
בהמשך 0.03968
ונדון 0.02188

באותו היום
עצמו 0.00667
השיב 0.00573
שבו 0.00513
ממש 0.00483
אלא 0.00345

שלא קיים
מצות 0.08371
המצוה 0.0258
מצוות 0.01697
פריה 0.01632
מצוה 0.0154

עלינו לדעת
מראש 0.00826
ולהבין 0.00746
שאין 0.00629
כיצד 0.00573
גם 0.0049

אינו מתייחס
כלל 0.07738
אליו 0.02536
רק 0.0235
אליהם 0.01738
אליה 0.01706

ורוח הקודש
אומרת 0.03993
צווחת 0.03575
שורה 0.01499
משיבה 0.01267
מביאה 0.01075

כיון דאין
כאן 0.06403
צריך 0.01568
דרך 0.01282
אנו 0.01095
שליחות 0.00855

בסוף פרשת
בראשית 0.03331
משפטים 0.03148
בשלח 0.02098
יתרו 0.0206
שמות 0.01906

הרב שלמה
גורן 0.09054
זלמן 0.06871
אבינר 0.03783
בן 0.02715
יוסף 0.02363

איני זוכר
בדיוק 0.03595
עוד 0.02785
כיצד 0.01265
איך 0.0113
עתה 0.0093

עלה מספר
היהודים 0.09568
התלמידים 0.04735
התושבים 0.0198
חברי 0.01892
החברים 0.01456

להוציא מתחת
ידו 0.344
ידם 0.10769
ידי 0.05854
ידיו 0.05185
ידיהם 0.03194

מאות בשנים
לפני 0.00917
— 0.00569
לאחר 0.005
עברו 0.00233
קודם 0.00211

שהיו באותו
מעמד 0.22806
הדור 0.1581
זמן 0.11243
הנס 0.06103
יום 0.04166

מפי רבי
חיים 0.0432
אליעזר 0.04023
יהודה 0.0395
יצחק 0.03313
יוחנן 0.03144

מפתח שמות
ועניינים 0.07127
אישים 0.04312
מקומות 0.03064
האישים 0.03054
המחברים 0.03001

יצא מבית
הכנסת 0.06519
האסורים 0.04632
דין 0.03633
המדרש 0.0349
מדרשו 0.0312

לאחר זמן
קצר 0.07866
מועט 0.008
נודע 0.00601
איסורו 0.00536
מרובה 0.00512

הראוי לציין
כאן 0.02638
גם 0.01062
עוד 0.00662
שגם 0.00631
בהקשר 0.00589

שלא קיבל
תשובה 0.01744
שום 0.01052
לשון 0.00976
חינוך 0.00888
עדיין 0.00735

שהוא הולך
בדרך 0.03188
למות 0.02899
לעשות 0.00991
וגדל 0.0092
לישון 0.00905

פת לחם
וסעדו 0.01767
יפשע 0.00991
יבש 0.00976
לאכול 0.00827
חרבה 0.007

אתם עושים
כאן 0.04644
רצונו 0.03537
מלאכה 0.0192
פה 0.01633
כך 0.01194

זמן שאדם
חי 0.10654
מרבה 0.071
הוגה 0.06507
ממשמש 0.04504
מתעמל 0.02324

בוקר יום
הששי 0.07788
ראשון 0.074
שלישי 0.02206
השישי 0.02159
שישי 0.0202

תורה אצל
רבי 0.13037
אביו 0.07523
הרב 0.04712
הגאון 0.03393
חכמי 0.01993

זמן שאין
אנו 0.03079
האדם 0.01147
הם 0.00845
כאן 0.00789
בידינו 0.00777

לתת תשובה
לשאלה 0.04728
ברורה 0.0432
חד 0.01546
חיובית 0.01494
לשאלות 0.01492

זמן שאני
חי 0.08291
רואה 0.0651
בבית 0.03269
קיים 0.02882
כאן 0.02541

עליכם כאילו
אתם 0.12209
עקדתם 0.0965
עשיתם 0.09068
היום 0.02419
המלכתם 0.02291

תורה אלא
כנגד 0.05345
לאוכלי 0.0453
גם 0.02171
בלילה 0.01953
לעשות 0.01854

שהיה לפני
המלחמה 0.03851
שנים 0.02279
מלחמת 0.00936
שנה 0.0087
עשרים 0.0081

באו גם
הם 0.04104
יהודים 0.01437
אנשי 0.00807
אנשים 0.00722
אחרים 0.00709

קבוצות שונות
בחברה 0.03297
באוכלוסייה 0.02487
בתוך 0.01455
באוכלוסיה 0.00724
בקרב 0.00712

אנחנו נמצאים
במצב 0.04689
כאן 0.03758
עכשיו 0.02588
היום 0.01569
בארץ 0.0148

רק בזכות
התורה 0.01868
אבות 0.0185
אברהם 0.01424
העובדה 0.01275
היותו 0.0083

היום הגדול
והנורא 0.05064
ביותר 0.01999
והקדוש 0.01781
ההוא 0.01529
הגיע 0.01108

מצויה גם
אצל 0.04471
בספרות 0.01094
בספר 0.00848
כאן 0.00832
בכתבי 0.00742

שנות השלושים
והארבעים 0.02738
ועד 0.00732
למאה 0.00563
ואילך 0.00539
המאוחרות 0.00467

היית צריך
לראות 0.09395
לעשות 0.03015
לומר 0.02403
לבוא 0.01861
לשמוע 0.01374

בשביל שלא
הוכיחו 0.02141
יהיה 0.01688
יהא 0.00969
שינו 0.00861
רצה 0.00812

שר המשפטים
דאז 0.01513
פנחס 0.01326
לשעבר 0.0117
ושר 0.0087
הראשון 0.0072

אמר מפני
שהוא 0.03665
שלא 0.02872
שאין 0.02473
שעושה 0.01874
שהפריז 0.01509

ניתן להבחין
בשני 0.02058
בשתי 0.01778
בבירור 0.01701
בשלושה 0.01672
גם 0.01454

עדים אנו
לתופעה 0.04466
לכך 0.0256
לתהליך 0.01987
כיום 0.0133
כאן 0.01311

רבי אליעזר
אומר 0.11693
בן 0.1096
הגדול 0.0288
ורבי 0.02744
בנו 0.01066

כיבוש הארץ
בידי 0.08756
ע 0.02092
בימי 0.01243
מידי 0.00921
כולה 0.00723

בדבר הקמת
מדינה 0.06635
בית 0.05669
מדינת 0.01977
בתי 0.01566
ועדה 0.01316

שלאחר מלחמת
העולם 0.39534
ששת 0.1341
יום 0.05058
העצמאות 0.03036
השחרור 0.02112

ומן הראוי
לציין 0.06018
להביא 0.02216
להזכיר 0.01901
להעיר 0.01702
לעמוד 0.01275

בחמשה עשר
יום 0.24351
בשבט 0.042
לחדש 0.03191
באב 0.0319
בניסן 0.02618

עול תורה
ומצוות 0.17495
מעבירין 0.0409
ומצות 0.03937
ועול 0.02548
נותנין 0.00983

לפני עשרים
שנה 0.49764
וחמש 0.11879
וארבע 0.02403
ושתים 0.0179
ושבע 0.01582

אספר לך
סיפור 0.03656
מעשה 0.03234
משהו 0.02853
הכל 0.01541
עוד 0.01407

קבלת עול
מלכות 0.44387
תורה 0.06406
מצוות 0.05997
מלכותו 0.02648
מצות 0.0144

עשרים אלף
יהודים 0.05121
דולר 0.02894
נפש 0.02335
רובל 0.0212
לירות 0.02084

מצא עצמו
עומד 0.02178
לפתע 0.01224
שוב 0.00973
במצב 0.00923
בתוך 0.0084

מלמד שהיה
משה 0.11216
הקול 0.02914
סדר 0.02732
נח 0.02242
אברהם 0.01685

שלא הוזכר
כלל 0.043
איסור 0.0256
כאן 0.0253
שמו 0.02288
בגמרא 0.02194

עוד הם
מדברים 0.12656
עומדים 0.01849
יושבים 0.01397
חיים 0.0121
נמצאים 0.0107

שהיה רבי
ישמעאל 0.08746
עקיבא 0.05718
מאיר 0.05335
יהודה 0.04562
יוסי 0.03953

אולם רק
לאחר 0.03156
מעטים 0.02397
לעתים 0.01162
בתנאי 0.00978
כאשר 0.00899

שהיה ראש
ישיבה 0.05473
הממשלה 0.03982
ממשלת 0.03034
ישיבת 0.02798
השנה 0.02526

דעת עצמו
בלבד 0.01041
אלא 0.00632
בלי 0.00504
— 0.00447
מבלי 0.00415

שאינו דומה
כלל 0.03516
תפלת 0.01635
לשאר 0.0122
לזה 0.01076
ממש 0.01076

ויש לדקדק
מדוע 0.02003
מאי 0.02003
הלא 0.01481
בדברי 0.01379
בלשון 0.01203

עוד גם
עתה 0.05439
היום 0.02525
ביד 0.01599
כיום 0.01218
אני 0.01086

בי כח
לעמוד 0.04516
להציל 0.02193
להרוג 0.01983
לעשות 0.01895
לומר 0.01457

במשך התקופה
הארוכה 0.0493
הקצרה 0.03254
הנסקרת 0.0304
הנדונה 0.03023
האחרונה 0.02369

בשם רבי
יוחנן 0.09804
יוסי 0.03476
לוי 0.03372
יהודה 0.03351
שמואל 0.033

באותו הזמן
גם 0.01135
עצמו 0.00731
בערך 0.00566
שבו 0.00451
ממש 0.00408

יושבי ארץ
הקודש 0.03638
הקדושה 0.02566
כנען 0.02469
יהודה 0.01195
הצבי 0.01181

הדעת נותנת
שלא 0.01234
שגם 0.00878
אפוא 0.0075
שהיה 0.00653
שהוא 0.00636

בקנה מידה
רחב 0.06443
קטן 0.05344
עולמי 0.03599
ארצי 0.03113
נרחב 0.02642

מביא לידי
מעשה 0.13419
ביטוי 0.04991
כך 0.04027
יראת 0.00919
מסקנה 0.00869

קטן בן
יומו 0.10424
שש 0.05687
תשע 0.03962
שמונה 0.02185
חמש 0.02011

אולם גם
כאן 0.03783
לאחר 0.01417
הם 0.01329
הפעם 0.00835
כאשר 0.00627

דברים נאמרו
בכוס 0.05702
בירושלים 0.05531
בפת 0.03857
בשדים 0.03483
באש 0.02858

אולם הם
גם 0.01738
עצמם 0.00806
סירבו 0.00608
ראו 0.00458
עשו 0.00445

שהיתה בת
רשע 0.02429
מלך 0.02326
בתה 0.02058
שלוש 0.01617
תשעים 0.0153

מתי יבוא
לידי 0.15858
הקץ 0.03947
המשיח 0.03022
יום 0.02899
היום 0.02677

ועוד באותו
יום 0.26624
